Category,Word,Overall Percentage,Percentage 1st named,3-5 yr. Percentage,3-5 yr. First Named ,6-8 yr.Percentage,6-8 yr.First Named ,9-12 yr. Percentage,9-12 yr.First Named,MeanRank,
Weather,Cloud,63.28,6.45,55.66,3.77,60.82,5.85,73.02,9.52,3.11,
Weather,Rain,86.85,39.21,84.91,31.13,87.13,31.58,88.1,56.35,2.14,
Weather,Snow,56.58,8.44,50,16.04,56.14,3.51,62.7,8.73,3.82,
Household items,Money,,,,,,,,,,
Household items,Paper,,,,,,,,,,
Household items,TV (television),,,,,,,,,,
Household items,Spoon,,,,,,,,,,
Nature,Moon,,,,,,,,,,
Nature,Tree,,,,,,,,,,
Nature,Ice,,,,,,,,,,
Nature,Fire,,,,,,,,,,
Games,Phone,,,,,,,,,,
Games,Puzzle,,,,,,,,,,
Games,Story,,,,,,,,,,
Games,Cards,,,,,,,,,,
